Fold,Model,Model_ZH,Method,Method_ZH,True_Label_Name,True_Label_ZH,Score_High,Score_Low,Score_Medium
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,High,高质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,High,高质量,1.0,0.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,High,高质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,1.0,0.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,High,高质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,1.0,0.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,High,高质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,1.0,0.0
1,Decision Tree,决策树,NoSampling,不采样,Medium,中质量,0.0,0.0,1.0
1,Decision Tree,决策树,NoSampling,不采样,Low,低质量,0.0,1.0,0.0
